Div,Season,Date,Time,MatchID,HomeTeam,Home_CumPoints,Home_Streak,AwayTeam,Away_Streak,Away_CumPoints,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,Goal_Diff_Home,Home_Win,B365H_prob,B365D_prob,B365A_prob,PSH_prob,PSA_prob,PSD_prob,B365H_prob_norm,B365D_prob_norm,B365A_prob_norm,PSH_prob_norm,PSA_prob_norm,PSD_prob_norm,Points_Home,Points_Away,B365_gap,PS_gap,Home_WinRate5,Home_GF5,Home_GA5,Home_GFGA5,Away_WinRate5,Away_GF5,Away_GA5,Away_GFGA5
E0,19,2019-08-09,20:00,0,Liverpool,0,0,Norwich,0,0,4,1,H,4,0,H,M Oliver,15,12,7,5,9,9,11,2,0,2,0,0,1.14,10.0,19.0,1.15,9.59,18.05,1.16,10.0,23.0,1.14,8.75,19.83,1.4,3.0,1.4,3.11,1.45,3.11,1.41,2.92,1.96,1.94,1.97,1.95,1.97,2.0,1.94,1.94,3,1,0.8771929824561404,0.1,0.05263157894736842,0.8695652173913044,0.055401662049861494,0.10427528675703858,0.8517887563884157,0.09710391822827938,0.05110732538330493,0.8448596899243724,0.05382762567385197,0.10131268440177561,3,0,-17.86,-16.900000000000002,0.0,0.0,0.0,,0.0,0.0,0.0,
E0,19,2019-08-10,15:00,1,Bournemouth,0,0,Sheffield United,0,0,1,1,D,0,0,D,K Friend,13,8,3,3,10,19,3,4,2,1,0,0,1.95,3.6,3.6,2.04,3.57,3.9,2.06,3.65,4.0,2.01,3.53,3.83,1.9,1.9,1.96,1.96,2.0,1.99,1.9,1.93,2.01,1.89,2.04,1.88,2.04,1.91,2.0,1.88,0,0,0.5128205128205129,0.2777777777777778,0.2777777777777778,0.49019607843137253,0.25641025641025644,0.2801120448179272,0.48,0.25999999999999995,0.25999999999999995,0.4774396642182582,0.24973767051416584,0.2728226652675761,1,1,-1.6500000000000001,-1.8599999999999999,0.0,0.0,0.0,,0.0,0.0,0.0,
E0,19,2019-08-10,15:00,2,Burnley,0,0,Southampton,0,0,3,0,H,0,0,D,G Scott,10,11,4,3,6,12,2,7,0,0,0,0,2.62,3.2,2.75,2.71,3.31,2.81,2.8,3.33,2.85,2.68,3.22,2.78,2.1,1.72,2.17,1.77,2.2,1.78,2.12,1.73,1.92,1.98,1.93,2.0,1.94,2.0,1.91,1.98,3,1,0.38167938931297707,0.3125,0.36363636363636365,0.36900369003690037,0.35587188612099646,0.3021148036253776,0.3608184017384886,0.2954200664233876,0.34376153183812375,0.3593058876703121,0.34651920127635083,0.2941749110533371,3,0,-0.1299999999999999,-0.10000000000000009,0.0,0.0,0.0,,0.0,0.0,0.0,
E0,19,2019-08-10,15:00,3,Crystal Palace,0,0,Everton,0,0,0,0,D,0,0,D,J Moss,6,10,2,3,16,14,6,2,2,1,0,1,3.0,3.25,2.37,3.21,3.37,2.39,3.21,3.4,2.52,3.13,3.27,2.4,2.2,1.66,2.23,1.74,2.25,1.74,2.18,1.7,1.85,2.05,1.88,2.05,1.88,2.09,1.84,2.04,0,0,0.3333333333333333,0.3076923076923077,0.42194092827004215,0.3115264797507788,0.41841004184100417,0.29673590504451036,0.313587786259542,0.2894656488549619,0.3969465648854962,0.3034331805047487,0.40753996210052024,0.28902685739473094,1,1,0.6299999999999999,0.8199999999999998,0.0,0.0,0.0,,0.0,0.0,0.0,
E0,19,2019-08-10,17:30,4,Tottenham,0,0,Aston Villa,0,0,3,1,H,0,1,A,C Kavanagh,31,7,7,4,13,9,14,0,1,0,0,0,1.3,5.25,10.0,1.3,5.84,10.96,1.33,5.95,12.0,1.3,5.53,10.51,1.66,2.2,1.64,2.4,1.7,2.4,1.65,2.26,1.97,1.93,1.99,1.93,2.0,2.0,1.93,1.94,2,1,0.7692307692307692,0.19047619047619047,0.1,0.7692307692307692,0.09124087591240876,0.17123287671232876,0.7258900795022467,0.1797442101624611,0.09436571033529209,0.7455921273344018,0.08843702240280314,0.16597085026279493,3,0,-8.7,-9.66,0.0,0.0,0.0,,0.0,0.0,0.0,
E0,19,2019-08-10,15:00,5,Watford,0,0,Brighton,0,0,0,3,A,0,1,A,C Pawson,11,5,3,3,15,11,5,2,0,1,0,0,1.9,3.4,4.0,1.98,3.44,4.37,2.0,3.5,4.6,1.94,3.41,4.26,2.1,1.72,2.19,1.76,2.24,1.76,2.16,1.71,1.95,1.95,1.98,1.95,1.98,1.98,1.94,1.94,-3,0,0.5263157894736842,0.29411764705882354,0.25,0.5050505050505051,0.22883295194508008,0.29069767441860467,0.49168474331164136,0.274765003615329,0.23355025307302965,0.4929336385039643,0.22334293003154446,0.2837234314644911,0,3,-2.1,-2.39,0.0,0.0,0.0,,0.0,0.0,0.0,
E0,19,2019-08-10,12:30,6,West Ham,0,0,Man City,0,0,0,5,A,0,1,A,M Dean,5,14,3,9,6,13,1,1,2,2,0,0,12.0,6.5,1.22,11.68,6.53,1.26,13.0,6.75,1.29,11.84,6.28,1.25,1.44,2.75,1.49,2.77,1.51,2.77,1.48,2.65,2.0,1.9,2.02,1.9,2.02,1.92,1.99,1.89,-5,0,0.08333333333333333,0.15384615384615385,0.819672131147541,0.08561643835616438,0.7936507936507936,0.15313935681470137,0.07885055185442974,0.14557024957740877,0.7755791985681615,0.082928992591846,0.7687385979942549,0.1483324094138991,0,3,10.78,10.42,0.0,0.0,0.0,,0.0,0.0,0.0,
E0,19,2019-08-11,14:00,7,Leicester,0,0,Wolves,0,0,0,0,D,0,0,D,A Marriner,15,8,1,2,3,13,12,3,0,2,0,0,2.2,3.2,3.4,2.21,3.34,3.66,2.29,3.38,3.66,2.22,3.28,3.48,2.2,1.66,2.23,1.74,2.25,1.74,2.17,1.7,1.9,2.0,1.9,2.04,1.95,2.04,1.91,1.98,0,0,0.45454545454545453,0.3125,0.29411764705882354,0.45248868778280543,0.27322404371584696,0.29940119760479045,0.4283464566929133,0.2944881889763779,0.27716535433070866,0.4414033161938876,0.2665304177017736,0.29206626610433883,1,1,-1.1999999999999997,-1.4500000000000002,0.0,0.0,0.0,,0.0,0.0,0.0,
E0,19,2019-08-11,16:30,8,Man United,0,0,Chelsea,0,0,4,0,H,1,0,H,A Taylor,11,18,5,7,15,13,3,5,3,4,0,0,2.1,3.3,3.5,2.21,3.37,3.63,2.28,3.43,3.63,2.19,3.32,3.49,2.0,1.8,2.05,1.87,2.1,1.87,2.01,1.83,1.9,2.0,1.9,2.04,1.92,2.04,1.89,2.0,4,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,0.45248868778280543,0.27548209366391185,0.29673590504451036,0.4471544715447154,0.2845528455284553,0.26829268292682923,0.4415787402853832,0.2688399493197512,0.2895813103948655,3,0,-1.4,-1.42,0.0,0.0,0.0,,0.0,0.0,0.0,
E0,19,2019-08-11,14:00,9,Newcastle,0,0,Arsenal,0,0,0,1,A,0,0,D,M Atkinson,9,8,2,2,12,7,5,3,1,3,0,0,4.5,3.75,1.72,4.58,3.93,1.81,4.7,4.0,1.83,4.49,3.82,1.79,1.8,2.0,1.83,2.1,1.83,2.14,1.77,2.07,1.85,2.05,1.86,2.07,1.88,2.08,1.85,2.03,-1,0,0.2222222222222222,0.26666666666666666,0.5813953488372093,0.2183406113537118,0.5524861878453039,0.2544529262086514,0.20762916465475614,0.2491549975857074,0.5432158377595365,0.21295711398847392,0.5388638574956964,0.24817902851582965,0,3,2.7800000000000002,2.77,0.0,0.0,0.0,,0.0,0.0,0.0,
